Backtest vertical: crypto
Days: 1000

Day	Equity
2024-01-28 00:00:00	0.00
2024-01-29 00:00:00	160857.04
2024-01-30 00:00:00	155478.87
2024-01-31 00:00:00	156082.76
2024-02-01 00:00:00	157705.72
2024-02-02 00:00:00	155306.87
2024-02-03 00:00:00	152575.78
2024-02-04 00:00:00	152937.01
2024-02-05 00:00:00	154610.98
2024-02-06 00:00:00	160253.51
2024-02-07 00:00:00	163233.52
2024-02-08 00:00:00	167667.92
2024-02-09 00:00:00	169130.42
2024-02-10 00:00:00	168832.04
2024-02-11 00:00:00	175393.59
2024-02-12 00:00:00	174787.94
2024-02-13 00:00:00	181844.36
2024-02-14 00:00:00	184116.87
2024-02-15 00:00:00	184141.33
2024-02-16 00:00:00	181396.11
2024-02-17 00:00:00	184266.72
2024-02-18 00:00:00	185144.04
2024-02-19 00:00:00	185591.13
2024-02-20 00:00:00	185308.84
2024-02-21 00:00:00	183775.00
2024-02-22 00:00:00	180960.99
2024-02-23 00:00:00	185238.68
2024-02-24 00:00:00	187136.99
2024-02-25 00:00:00	194033.46
2024-02-26 00:00:00	197951.16
2024-02-27 00:00:00	207756.15
2024-02-28 00:00:00	208203.17
2024-02-29 00:00:00	213396.20
2024-03-01 00:00:00	216578.78
2024-03-02 00:00:00	217483.20
2024-03-03 00:00:00	225642.60
2024-03-04 00:00:00	212477.56
2024-03-05 00:00:00	224380.01
2024-03-06 00:00:00	235765.36
2024-03-07 00:00:00	237765.71
2024-03-08 00:00:00	238222.75
2024-03-09 00:00:00	241439.62
2024-03-10 00:00:00	256025.48
2024-03-11 00:00:00	253617.43
2024-03-12 00:00:00	268256.74
2024-03-13 00:00:00	265657.32
2024-03-14 00:00:00	264372.08
2024-03-15 00:00:00	250237.69
2024-03-16 00:00:00	260701.43
2024-03-17 00:00:00	257512.30
2024-03-18 00:00:00	231761.10
2024-03-19 00:00:00	253982.47
2024-03-20 00:00:00	250824.86
2024-03-21 00:00:00	243819.80
2024-03-22 00:00:00	243423.15
2024-03-23 00:00:00	253745.12
2024-03-24 00:00:00	260997.13
2024-03-25 00:00:00	259965.32
2024-03-26 00:00:00	255344.57
2024-03-27 00:00:00	260005.67
2024-03-28 00:00:00	263803.02
2024-03-29 00:00:00	262099.76
2024-03-30 00:00:00	267980.55
2024-03-31 00:00:00	257667.81
2024-04-01 00:00:00	244049.85
2024-04-02 00:00:00	247737.82
2024-04-03 00:00:00	253959.34
2024-04-04 00:00:00	247590.93
2024-04-05 00:00:00	252025.04
2024-04-06 00:00:00	252770.98
2024-04-07 00:00:00	256421.08
2024-04-08 00:00:00	248701.01
2024-04-09 00:00:00	255079.42
2024-04-10 00:00:00	252639.65
2024-04-11 00:00:00	241536.20
2024-04-12 00:00:00	227174.96
2024-04-13 00:00:00	232637.67
2024-04-14 00:00:00	227010.67
2024-04-15 00:00:00	220808.64
2024-04-16 00:00:00	0.00
2024-04-17 00:00:00	0.00
2024-04-18 00:00:00	0.00
2024-04-19 00:00:00	0.00
2024-04-20 00:00:00	0.00
2024-04-21 00:00:00	0.00
2024-04-22 00:00:00	221429.61
2024-04-23 00:00:00	222379.32
2024-04-24 00:00:00	223986.53
2024-04-25 00:00:00	218434.35
2024-04-26 00:00:00	217776.86
2024-04-27 00:00:00	219237.96
2024-04-28 00:00:00	216534.93
2024-04-29 00:00:00	211274.97
2024-04-30 00:00:00	205211.40
2024-05-01 00:00:00	204736.55
2024-05-02 00:00:00	0.00
2024-05-03 00:00:00	204283.13
2024-05-04 00:00:00	206480.47
2024-05-05 00:00:00	205155.09
2024-05-06 00:00:00	201074.31
2024-05-07 00:00:00	205294.60
2024-05-08 00:00:00	208154.64
2024-05-09 00:00:00	204248.25
2024-05-10 00:00:00	206550.23
2024-05-11 00:00:00	207457.07
2024-05-12 00:00:00	206375.84
2024-05-13 00:00:00	197795.73
2024-05-14 00:00:00	202643.84
2024-05-15 00:00:00	203730.44
2024-05-16 00:00:00	211502.82
2024-05-17 00:00:00	213178.56
2024-05-18 00:00:00	210630.08
2024-05-19 00:00:00	229243.10
2024-05-20 00:00:00	232836.27
2024-05-21 00:00:00	229792.99
2024-05-22 00:00:00	228381.13
2024-05-23 00:00:00	226510.80
2024-05-24 00:00:00	228062.53
2024-05-25 00:00:00	225861.36
2024-05-26 00:00:00	229902.59
2024-05-27 00:00:00	227609.27
2024-05-28 00:00:00	225225.04
2024-05-29 00:00:00	224579.64
2024-05-30 00:00:00	223694.95
