================================================================
ALPHA TERMINAL — ALL PICKS  |  2026-03-13
================================================================
Games: 8  |  Prop lines scored: 232
NOTE: AST legs marked [!] — model hit rate 41% (below random), bet at own risk
================================================================

MONEYLINES
──────────────────────────────────────────────────────────────
  Team                            Model%  Side   ML Odds  vs
──────────────────────────────────────────────────────────────
  Scoot Henderson            pts    14.5   13.6   39.2%  LOW     -109   Jazz @ Blazers
  Donte DiVincenzo           ast[!]  3.5    3.2   39.1%  LOW     -110   Timberwolves @ Warriors
  Bennedict Mathurin         pts    19.5   18.2   38.9%  LOW     -110   Bulls @ Clippers
  Saddiq Bey                 ast[!]  2.5    2.2   38.8%  LOW     +140   Pelicans @ Rockets
  Anthony Edwards            pts    29.5   27.8   38.7%  LOW     -108   Timberwolves @ Warriors
  Brice Sensabaugh           ast[!]  2.5    2.2   38.4%  LOW     +140   Jazz @ Blazers
  Aaron Nesmith              reb     3.5    3.3   38.2%  LOW     +109   Knicks @ Pacers
  Tari Eason                 reb     6.5    5.9   38.2%  LOW     +118   Pelicans @ Rockets
  Jaden McDaniels            pts    12.5   11.7   38.1%  LOW     -118   Timberwolves @ Warriors
  Sam Merrill                ast[!]  2.5    2.2   38.0%  LOW     +113   Cavaliers @ Mavericks
  Taylor Hendricks           reb     5.5    5.0   38.0%  LOW     +117   Grizzlies @ Pistons
  Kyle Filipowski            pts    14.5   13.5   38.0%  LOW     +109   Jazz @ Blazers
  Kris Dunn                  reb     4.5    4.0   38.0%  LOW     +123   Bulls @ Clippers
  Jakob Poeltl               pts    11.5   10.6   37.9%  LOW     +100   Suns @ Raptors
  Max Christie               pts    10.5    9.6   37.8%  LOW     -129   Cavaliers @ Mavericks
  Toumani Camara             ast[!]  2.5    2.2   37.7%  LOW     +122   Jazz @ Blazers
  Duncan Robinson            ast[!]  2.5    2.2   37.5%  LOW     +167   Grizzlies @ Pistons
  Mikal Bridges              ast[!]  3.5    3.1   37.3%  LOW     +104   Knicks @ Pacers
  Donovan Mitchell           reb     4.5    4.0   37.3%  LOW     -141   Cavaliers @ Mavericks
  Cedric Coward              ast[!]  2.5    2.2   37.1%  LOW     +152   Grizzlies @ Pistons
  Brandon Ingram             reb     5.5    4.9   36.9%  LOW     -110   Suns @ Raptors
  Evan Mobley                pts    18.5   17.2   36.8%  LOW     +100   Cavaliers @ Mavericks
